run_id,task,backend,algo,method_generate,method_evaluate,method_select,naive_run,prompt_sample,n_generate_sample,n_evaluate_sample,n_select_sample,task_start_index,task_end_index,n_puzzles,accuracy_avg,accuracy_any,completion_tokens,prompt_tokens,cost_usd,elapsed_s
claude_cli-haiku_T0.7_naive_cot_n100_912-913,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,912,913,1,1.0,1.0,164274,6861,0.9817351500000001,1179.4784610271454
claude_cli-haiku_T0.7_naive_cot_n100_913-914,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,913,914,1,1.0,1.0,390151,13083,2.11823155,5913.834450006485
claude_cli-haiku_T0.7_naive_cot_n100_914-915,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,914,915,1,0.98,1.0,214575,13083,1.2403565499999996,1373.0199999809265
claude_cli-haiku_T0.7_naive_cot_n100_915-916,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,915,916,1,1.0,1.0,126595,6861,0.79238415,940.3271486759186
claude_cli-haiku_T0.7_naive_cot_n100_916-917,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,916,917,1,1.0,1.0,798959,11062,4.160963,7599.961150884628
claude_cli-haiku_T0.7_naive_cot_n100_917-918,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,917,918,1,1.0,1.0,338729,13133,1.8608318999999998,5399.588171720505
claude_cli-haiku_T0.7_naive_cot_n100_918-919,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,918,919,1,0.99,1.0,230374,13083,1.3194315499999998,1524.2249298095703
claude_cli-haiku_T0.7_naive_cot_n100_919-920,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,919,920,1,1.0,1.0,265983,13083,1.4966166499999995,1653.524518251419
claude_cli-haiku_T0.7_naive_cot_n100_920-921,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,920,921,1,1.0,1.0,180296,13083,1.0689865499999998,1212.7858250141144
claude_cli-haiku_T0.7_naive_cot_n100_921-922,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,921,922,1,1.0,1.0,144245,6861,0.8815751500000005,1017.7978661060333
claude_cli-haiku_T0.7_naive_cot_n100_922-923,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,922,923,1,1.0,1.0,589386,13083,3.1144015500000006,6744.034951925278
claude_cli-haiku_T0.7_naive_cot_n100_923-924,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,923,924,1,1.0,1.0,266519,6861,1.49300015,1970.4144451618195
claude_cli-haiku_T0.7_naive_cot_n100_924-925,game24,claude_cli:haiku,,,,greedy,True,cot,100,1,1,924,925,1,0.97,1.0,719619,13133,3.7663079,7458.493745088577
claude_cli-haiku_T0.7_naive_cot_n1_900-925,game24,claude_cli:haiku,,,,greedy,True,cot,1,1,1,900,925,25,1.0,1.0,57078,42213,0.37209479999999995,367.64340806007385
claude_cli-haiku_T0.7_naive_cot_n20_900-902,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,900,902,2,1.0,1.0,97295,360,0.5478639999999999,858.9499571323395
claude_cli-haiku_T0.7_naive_cot_n20_900-925,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,900,925,25,1.0,1.0,1415128,118020,7.981290350000002,1136.4841032028198
claude_cli-haiku_T0.7_naive_cot_n20_902-904,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,902,904,2,1.0,1.0,66810,6321,0.40229915,456.84337878227234
claude_cli-haiku_T0.7_naive_cot_n20_904-906,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,904,906,2,1.0,1.0,112229,6321,0.6293841500000001,698.7480430603027
claude_cli-haiku_T0.7_naive_cot_n20_906-908,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,906,908,2,1.0,1.0,77785,6321,0.45725915000000006,494.86067819595337
claude_cli-haiku_T0.7_naive_cot_n20_908-910,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,908,910,2,1.0,1.0,102900,6321,0.5827741500000001,658.3892910480499
claude_cli-haiku_T0.7_naive_cot_n20_910-911,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,910,911,1,1.0,1.0,21253,6141,0.14381215000000003,157.634624004364
claude_cli-haiku_T0.7_naive_cot_n20_911-912,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,911,912,1,1.0,1.0,30834,6141,0.19172215000000004,207.84190225601196
claude_cli-haiku_T0.7_naive_cot_n20_912-913,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,912,913,1,1.0,1.0,24242,6141,0.15877715,188.94052410125732
claude_cli-haiku_T0.7_naive_cot_n20_913-914,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,913,914,1,1.0,1.0,86181,6141,0.46844715000000003,509.8787648677826
claude_cli-haiku_T0.7_naive_cot_n20_914-915,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,914,915,1,1.0,1.0,40904,6141,0.24206714999999995,261.0643320083618
claude_cli-haiku_T0.7_naive_cot_n20_915-916,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,915,916,1,1.0,1.0,42060,6141,0.24786215000000003,287.2933030128479
claude_cli-haiku_T0.7_naive_cot_n20_916-917,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,916,917,1,1.0,1.0,148063,6141,0.7778721500000001,742.3019359111786
claude_cli-haiku_T0.7_naive_cot_n20_917-918,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,917,918,1,1.0,1.0,72740,6141,0.40124715,402.14546275138855
claude_cli-haiku_T0.7_naive_cot_n20_918-919,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,918,919,1,1.0,1.0,44018,6141,0.25762714999999997,294.2063112258911
claude_cli-haiku_T0.7_naive_cot_n20_919-920,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,919,920,1,1.0,1.0,44683,6141,0.26103215,290.61484384536743
claude_cli-haiku_T0.7_naive_cot_n20_920-921,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,920,921,1,1.0,1.0,38565,6141,0.23036715000000002,241.36478304862976
claude_cli-haiku_T0.7_naive_cot_n20_921-922,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,921,922,1,1.0,1.0,44120,6141,0.25818715,282.70703887939453
claude_cli-haiku_T0.7_naive_cot_n20_922-923,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,922,923,1,1.0,1.0,133909,12363,0.71430855,698.5807197093964
claude_cli-haiku_T0.7_naive_cot_n20_923-924,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,923,924,1,1.0,1.0,46299,6141,0.26904215,314.81477880477905
claude_cli-haiku_T0.7_naive_cot_n20_924-925,game24,claude_cli:haiku,,,,greedy,True,cot,20,1,1,924,925,1,1.0,1.0,140238,180,0.73933825,1136.4841032028198
claude_cli-haiku_T0.7_naive_standard_n100_900-901,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,900,901,1,1.0,1.0,109551,6541,0.6725571499999999,877.9700899124146
claude_cli-haiku_T0.7_naive_standard_n100_900-925,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,900,925,25,0.9976,1.0,3927138,252055,22.84790905,3009.396313905716
claude_cli-haiku_T0.7_naive_standard_n100_901-902,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,901,902,1,1.0,1.0,145426,6541,0.85186715,1036.8398678302765
claude_cli-haiku_T0.7_naive_standard_n100_902-903,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,902,903,1,1.0,1.0,114811,6541,0.6987621500000002,897.272931098938
claude_cli-haiku_T0.7_naive_standard_n100_903-904,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,903,904,1,1.0,1.0,29542,6541,0.2706241499999998,389.2299151420593
claude_cli-haiku_T0.7_naive_standard_n100_904-905,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,904,905,1,1.0,1.0,257464,12443,1.4189005500000003,1665.6230092048645
claude_cli-haiku_T0.7_naive_standard_n100_905-906,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,905,906,1,0.97,1.0,239679,6541,1.3231521499999996,1726.6619501113892
claude_cli-haiku_T0.7_naive_standard_n100_906-907,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,906,907,1,1.0,1.0,98032,12443,0.6217005499999992,802.559983253479
claude_cli-haiku_T0.7_naive_standard_n100_907-908,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,907,908,1,1.0,1.0,88927,12443,0.5762216499999999,746.5238561630249
claude_cli-haiku_T0.7_naive_standard_n100_908-909,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,908,909,1,1.0,1.0,89765,12443,0.57977955,713.768609046936
claude_cli-haiku_T0.7_naive_standard_n100_909-910,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,909,910,1,1.0,1.0,160669,6541,0.9281071499999997,1139.0944950580597
claude_cli-haiku_T0.7_naive_standard_n100_910-911,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,910,911,1,0.99,1.0,97616,12443,0.6196455499999999,790.2938487529755
claude_cli-haiku_T0.7_naive_standard_n100_911-912,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,911,912,1,1.0,1.0,22317,12443,0.24245954999999997,330.70649695396423
claude_cli-haiku_T0.7_naive_standard_n100_912-913,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,912,913,1,1.0,1.0,112258,6541,0.6860471499999998,925.3879449367523
claude_cli-haiku_T0.7_naive_standard_n100_913-914,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,913,914,1,1.0,1.0,116639,6541,0.7079571500000006,900.7753229141235
claude_cli-haiku_T0.7_naive_standard_n100_914-915,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,914,915,1,1.0,1.0,175633,6541,1.0029071500000004,1192.3827118873596
claude_cli-haiku_T0.7_naive_standard_n100_915-916,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,915,916,1,1.0,1.0,21277,12443,0.23485555000000002,319.83846402168274
claude_cli-haiku_T0.7_naive_standard_n100_916-917,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,916,917,1,1.0,1.0,628518,12443,3.274140549999999,3009.396313905716
claude_cli-haiku_T0.7_naive_standard_n100_917-918,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,917,918,1,0.98,1.0,281758,12443,1.54032555,1588.1152698993683
claude_cli-haiku_T0.7_naive_standard_n100_918-919,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,918,919,1,1.0,1.0,190465,12443,1.0838355499999996,1282.5500149726868
claude_cli-haiku_T0.7_naive_standard_n100_919-920,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,919,920,1,1.0,1.0,154361,12443,0.9034055499999998,1099.8038339614868
claude_cli-haiku_T0.7_naive_standard_n100_920-921,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,920,921,1,1.0,1.0,74257,12443,0.5029027499999998,675.319137096405
claude_cli-haiku_T0.7_naive_standard_n100_921-922,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,921,922,1,1.0,1.0,74887,6541,0.49914214999999995,670.4454188346863
claude_cli-haiku_T0.7_naive_standard_n100_922-923,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,922,923,1,1.0,1.0,247147,12443,1.3672805500000003,1566.3400619029999
claude_cli-haiku_T0.7_naive_standard_n100_923-924,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,923,924,1,1.0,1.0,32897,12443,0.29361155000000005,404.64326000213623
claude_cli-haiku_T0.7_naive_standard_n100_924-925,game24,claude_cli:haiku,,,,greedy,True,standard,100,1,1,924,925,1,1.0,1.0,363242,12443,1.9477205500000006,2138.5882749557495
claude_cli-haiku_T0.7_naive_standard_n1_900-925,game24,claude_cli:haiku,,,,greedy,True,standard,1,1,1,900,925,25,0.08,0.08,44781,94625,0.33375999999999995,304.87684392929077
