idx,input,old_any,new_any,old_avg,new_avg,n_candidates,unique_candidates,rollouts,old_correct_samples,new_correct_samples,error
981,5 8 8 8,1,1,0.5454545454545454,0.5454545454545454,11,7,5,6,6,
982,6 8 8 12,1,1,0.4444444444444444,0.4444444444444444,9,6,5,4,4,
983,2 3 4 9,1,1,0.4444444444444444,0.4444444444444444,9,6,5,4,4,
984,2 6 7 11,1,1,0.11764705882352941,0.11764705882352941,17,14,5,2,2,
985,5 9 12 12,1,1,1.0,1.0,8,2,5,8,8,
986,1 2 7 12,0,0,0.0,0.0,25,23,5,0,0,
987,2 4 5 6,0,0,0.0,0.0,25,20,5,0,0,
988,5 5 8 13,0,0,0.0,0.0,25,16,5,0,0,
989,2 3 3 10,0,0,0.0,0.0,25,22,5,0,0,
990,3 4 8 12,0,0,0.0,0.0,25,21,5,0,0,
991,2 4 6 11,0,0,0.0,0.0,25,22,5,0,0,
992,2 2 8 9,0,0,0.0,0.0,25,24,5,0,0,
993,1 5 6 7,0,0,0.0,0.0,25,18,5,0,0,
994,5 8 10 11,0,0,0.0,0.0,25,20,5,0,0,
995,4 4 9 12,1,1,0.23076923076923078,0.23076923076923078,13,8,5,3,3,
996,2 5 6 6,0,0,0.0,0.0,24,19,5,0,0,
997,2 4 9 12,0,0,0.0,0.0,25,19,5,0,0,
998,4 8 11 13,1,1,1.0,1.0,16,4,5,16,16,
999,4 9 10 13,1,1,1.0,1.0,8,2,5,8,8,
