idx,input,old_any,new_any,old_rs,new_rs,old_avg,new_avg,n_candidates,error
954,6 7 10 12,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
955,7 8 8 12,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
956,3 4 6 8,0,1,0,1,0.0,1.0,1,
957,1 7 9 11,0,1,0,1,0.0,1.0,1,
958,2 3 6 13,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
959,2 2 5 12,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
960,2 6 8 13,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
961,8 8 10 12,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
962,1 3 8 13,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
963,4 4 7 10,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
964,1 7 10 13,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
965,1 9 10 13,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
966,3 3 4 11,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
967,2 5 7 7,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
968,3 9 10 13,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
969,2 3 4 7,0,1,"0,0,0,0,0","1,0,0,0,0",0.0,0.2,5,
970,4 4 8 12,0,1,"0,0,0,0,0","1,0,0,0,0",0.0,0.2,5,
971,1 2 6 10,0,1,"0,0,0,0","1,1,1,1",0.0,1.0,4,
972,1 5 12 12,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
973,5 6 6 8,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
974,7 7 8 11,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
975,1 3 7 10,1,1,1,1,1.0,1.0,1,
976,3 3 9 12,0,1,"0,0,0","1,1,1",0.0,1.0,3,
977,3 5 7 10,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
978,4 10 12 13,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
979,2 3 10 12,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
980,3 4 6 6,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
981,5 8 8 8,0,1,0,1,0.0,1.0,1,
982,6 8 8 12,1,1,"1,1","1,1",1.0,1.0,2,
983,2 3 4 9,0,1,0,1,0.0,1.0,1,
984,2 6 7 11,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
985,5 9 12 12,0,1,"0,0","1,1",0.0,1.0,2,
986,1 2 7 12,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
987,2 4 5 6,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
988,5 5 8 13,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
989,2 3 3 10,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
990,3 4 8 12,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
991,2 4 6 11,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
992,2 2 8 9,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
993,1 5 6 7,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
994,5 8 10 11,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
995,4 4 9 12,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
996,2 5 6 6,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
997,2 4 9 12,0,0,"0,0,0,0,0","0,0,0,0,0",0.0,0.0,5,
998,4 8 11 13,1,1,"1,0,0,0","1,1,1,1",0.25,1.0,4,
999,4 9 10 13,1,1,"1,1","1,1",1.0,1.0,2,
